U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,model,wall,factor,key
8ETF,w2018,pure2,ElasticNet(a=0.01),8.0,2.0,0.2362311996169699,0.0276242509117783,-0.3925643371617479,0.0703687225169319,0.4222222222222222,90.0,-0.8503015543209971,0.7512612926282805,-0.2004006749412142,-0.4647484706860435,1.4194751225582805,v3,ElasticNet,ElasticNet,w2018,pure2,8ETF|w2018|pure2|ElasticNet
8ETF,w18,pure2,Ridge,,,0.4381751514981032,0.0739895605070257,-0.3870706500876392,,,,,,,,,ridge42,Ridge,Ridge,w2018,pure2,8ETF|w2018|pure2|Ridge
8ETF,w2020,base5,ElasticNet(a=0.01),8.0,5.0,-0.3635256654660507,-0.0757108191602261,-0.3872112902857603,-0.1955284390193062,0.417910447761194,66.0,-1.1528408695372263,0.6135494523783408,-0.4782346181050659,-0.2618824976122862,,v3,ElasticNet,ElasticNet,w2020,base5,8ETF|w2020|base5|ElasticNet
8ETF,w20,base5,Ridge,,,-0.2410334156806702,-0.0579862368502974,-0.387475958590037,,,,,,,,,ridge42,Ridge,Ridge,w2020,base5,8ETF|w2020|base5|Ridge
8ETF,w2020,pure2,ElasticNet(a=0.01),8.0,2.0,-0.3133995788611709,-0.0743996402857977,-0.3925643371617477,-0.1895221578804366,0.3283582089552239,66.0,-0.8503015543210055,0.7512612926282884,-0.32725867377695,-0.4647484706860392,,v3,ElasticNet,ElasticNet,w2020,pure2,8ETF|w2020|pure2|ElasticNet
8ETF,w20,pure2,Ridge,,,0.0093944857546065,-0.0195047601883038,-0.3870706500876388,,,,,,,,,ridge42,Ridge,Ridge,w2020,pure2,8ETF|w2020|pure2|Ridge
8ETF,w2022,base5,ElasticNet(a=0.01),8.0,5.0,-0.1425670324499073,-0.0380757545925188,-0.217149463442498,-0.1753435352263786,0.4523809523809524,42.0,,0.6135494523783381,,-0.6667338359206237,,v3,ElasticNet,ElasticNet,w2022,base5,8ETF|w2022|base5|ElasticNet
8ETF,w22,base5,Ridge,,,0.0489994274106298,-0.0074208674251692,-0.1843476777978547,,,,,,,,,ridge42,Ridge,Ridge,w2022,base5,8ETF|w2022|base5|Ridge
8ETF,w2022,pure2,ElasticNet(a=0.01),8.0,2.0,-0.2390418937293652,-0.06040278092487,-0.2471892062764294,-0.2443584889273934,0.3333333333333333,42.0,,0.7512612926282822,,-1.0458193489003973,,v3,ElasticNet,ElasticNet,w2022,pure2,8ETF|w2022|pure2|ElasticNet
8ETF,w22,pure2,Ridge,,,0.0257702941169536,-0.0157386225673568,-0.2640300139225183,,,,,,,,,ridge42,Ridge,Ridge,w2022,pure2,8ETF|w2022|pure2|Ridge
